ID,Description,Entry_ID
538-aufblasen,aufblasen,538-ufblesan
539-schlagen,schlagen,539-bliggwan
540-durchbleuen,durchbleuen,540-usbliggwan
541-verblenden,verblenden,541-gablindjan
542-erblinden,erblinden,542-afblindnan
543-blind,blind,543-blinds
544-blume,Blume,544-bloma
545-verehren,verehren,545-blotan
546-verehrung,Verehrung,546-blotinassus
547-blut,Blut,547-blo
548-blutflussig,blutflüssig,548-bloarinnandei
549-reibenzerreiben,"reiben, zerreiben",549-bnauan
550-buchstabe,Buchstabe,550-boka
551-schriftgelehrterschreiber,Schriftgelehrter; Schreiber,551-bokareis
552-nutzen,Nutzen,552-bota
553-nutzenbessern,"nützen, bessern",553-botjan
554-verbessernherstellen,"verbessern, herstellen",554-gabotjan
555-imaugenblick,im Augenblick,555-braa
556-breite,Breite,556-braidei
557-ausbreitennach,ausbreiten nach,557-usbraidjan
558-breit,breit,558-brais
559-ringenringkampf,"Ringen, Ringkampf",559-brakja
560-verbrennen,verbrennen,560-gabrannjan
561-inbrandstecken,in Brand stecken,561-inbrannjan
562-bringen,bringen,562-briggan
563-brechenzerstoren,brechen; zerstören,563-brikan
564-zerbrechen,zerbrechen,564-gabrikan
565-verwerfenverachten,"verwerfen, verachten",565-ufbrikan
566-brennen,brennen,566-brinnan
567-verbrennen,verbrennen,567-ufbrinnan
568-fieber,Fieber,568-brinno
569-bruder,Bruder,569-broar
570-bruder,Brüder,570-brorahans
571-bruderliebe,Bruderliebe,571-brorulubo
572-gebrauchen,gebrauchen,572-brukjan
573-ausgebrochenwerden,ausgebrochen werden,573-usbruknan
574-brauchbar,brauchbar,574-bruks
575-brustharnisch,Brustharnisch,575-brunjo
576-brunnen,Brunnen,576-brunna
577-brust,Brust,577-brusts
578-brautigam,Bräutigam,578-brufas
579-neuvermahlteschwiegertochter,"Neuvermählte, Schwiegertochter",579-brus
580-kaufen,kaufen,580-bugjan
581-verkaufenfur,verkaufen für,581-frabugjan
582-erkaufen,erkaufen,582-usbugjan
583-entbundenwerden,entbunden werden,583-andbundnan
584-feineslinnen,feines Linnen,584-bwssaun
585-wasihmbevorstand,was ihm bevorstand,585-gadaban
586-saugen,säugen,586-daddjan
587-tag,Tag,587-dags
588-teig,Teig,588-daigs
589-daikapaulis,Daikapaulis*,589-daikapaulis
590-teilnahmegemeinschaft,"Teilnahme, Gemeinschaft",590-daila
591-teilenzuteilenmitteilen,"teilen, zuteilen, mitteilen",591-dailjan
592-abteileneinenteilabgeben,"abteilen, einen Teil abgeben ",592-afdailjan
593-verteilenzerteilen,"verteilen, zerteilen",593-disdailjan
594-verteilenunter,verteilen unter ,594-fradailjan
595-zuteilenzerteilen,"zuteilen, zerteilen",595-gadailjan
596-teil,Teil,596-dails
597-besessener,Besessener,597-daimonareis
598-grubeschluchttal,"Grube; Schlucht, Tal",598-dals
599-zutalabwartsniederaufdieerde,"zu Tal, abwärts, nieder; auf die Erde",599-dala
600-unten,unten,600-dalaa
601-vonuntenunten,"von unten, unten",601-dalaro
602-dalmatia,Dalmatia,602-dalmatia
603-damaskon,Damaskon,603-damaskon
604-verdammenversperren,"verdämmen, versperren",604-faurdammjan
605-taubheit,Taubheit,605-daubei
606-taubheit,Taubheit,606-daubia
607-verstocken,verstocken,607-gadaubjan
608-ertaubenverstocktwerden,"ertauben, verstockt werden",608-afdaubnan
609-sichbeeifern,sich beeifern,609-usdaudjan
610-taubverstockt,"taub, verstockt",610-daufs
611-tochter,Tochter,611-dauhtar
612-bewirtung,Bewirtung,612-dauhts
613-geschundengeplagt,"geschunden, geplagt",613-afdauis
614-geruch,Geruch,614-dauns
615-abwaschung,Abwaschung,615-daupeins
616-taufen,taufen,616-daupjan
617-taufen,taufen,617-ufdaupjan
618-taufer,Täufer,618-daupjands
619-tor, Tor,619-daur
620-turhuterin,Türhüterin,620-daurawarda
