ID,Language_ID,Headword,Part_Of_Speech
298-araita,Gothic,Araita*,"Noun, proper"
299-aram,Gothic,Aram,"Noun, proper"
300-arbaidjan,Gothic,arbaidjan,Verb
301-biarbaidjan,Gothic,bi-arbaidjan,Verb
302-miarbaidjan,Gothic,miþ-arbaidjan,Verb
303-airharbaidjan,Gothic,þairh-arbaidjan,Verb
304-arbais,Gothic,arbaiþs,"Noun, common, feminine"
305-arbi,Gothic,arbi,"Noun, common, neuter"
306-arbinumja,Gothic,arbinumja,"Noun, common, masculine"
307-arbja,Gothic,arbja,"Noun, common, masculine"
308-arbjo,Gothic,arbjo,"Noun, common, feminine"
309-areimaaia,Gothic,Areimaþaia,"Noun, proper"
310-areistarkus,Gothic,Areistarkus,"Noun, proper"
311-arfaksad,Gothic,Arfaksad*,"Noun, proper"
312-arazna,Gothic,arƕazna,"Noun, common, feminine"
313-arjan,Gothic,arjan,Verb
314-arka,Gothic,arka,"Noun, common, feminine"
315-arkaggilus,Gothic,arkaggilus,"Noun, common, masculine"
316-arkippus,Gothic,Arkippus,"Noun, proper"
317-armahairtei,Gothic,armahairtei,"Noun, common, feminine"
318-armahairtia,Gothic,armahairtiþa,"Noun, common, feminine"
319-armahairts,Gothic,armahairts,Adjective
320-armaio,Gothic,armaio,"Noun, common, feminine"
321-arman,Gothic,arman,Verb
322-gaarman,Gothic,ga-arman,Verb
323-arms,Gothic,arms*,Adjective
324-arms,Gothic,arms,"Noun, common, masculine"
325-arniba,Gothic,arniba,Adverb
326-aromata,Gothic,aromata,"Noun, common"
327-artaksairksus,Gothic,[Artaksairksus],"Noun, proper"
328-arwjo,Gothic,arwjo,Adverb
329-asaf,Gothic,Asaf*,"Noun, proper"
330-asans,Gothic,asans,"Noun, common, feminine"
331-aser,Gothic,Aser*,"Noun, proper"
332-asgad,Gothic,Asgad*,"Noun, proper"
333-asia,Gothic,Asia,"Noun, proper"
334-asiluqairnus,Gothic,asiluqairnus,"Noun, common, feminine"
335-asilus,Gothic,asilus,"Noun, common, masculine"
336-asmo,Gothic,Asmoþ,"Noun, proper"
337-asneis,Gothic,asneis,"Noun, common, masculine"
338-assarjus,Gothic,assarjus*,"Noun, common, masculine"
339-assaum,Gothic,Assaum,"Noun, proper"
340-asta,Gothic,astaþ,"Noun, common"
341-asts,Gothic,asts,"Noun, common, masculine"
342-at,Gothic,at,"Preposition, +AD"
343-atani,Gothic,ataþni*,"Noun, common, neuter"
344-aterateir,Gothic,"Ater*, Ateir*","Noun, proper"
345-atgagg,Gothic,atgagg*,"Noun, common, neuter"
346-atisk,Gothic,atisk,"Noun, common"
