Grapheme	IPA
bisunjane	bɪsunjane
biþe	bɪθe
anabiudan	anaβɪuðan
faurbiudan	ɸɔrbɪuðan
biugan	bɪuɣan
gabiugan	ɡaβɪuɣan
biuhti	bɪuhtɪ
biuhts	bɪuhts
biuþs	bɪuθs
blandan	blandan
blauþjan	blɔθjan
gablauþjan	ɡaβlɔθjan
bleiþei	bliθi
bleiþjan	bliθjan
gableiþjan	ɡaβliθjan
bleiþs	bliθs
ufblesan	uɸblesan
bliggwan	blɪɡɡwan
usbliggwan	usblɪɡɡwan
gablindjan	ɡaβlɪndjan
afblindnan	aɸblɪndnan
blinds	blɪnds
bloma	bloma
blotan	blotan
blotinassus	blotɪnasːus
bloþ	bloθ
bloþarinnandei	bloθarɪnːandi
bnauan	bnɔan
boka	boka
bokareis	bokaris
bota	bota
botjan	botjan
gabotjan	ɡaβotjan
braƕa	braʍa
braidei	brɛði
usbraidjan	usbrɛðjan
braiþs	brɛθs
brakja	brakja
gabrannjan	ɡaβranːjan
inbrannjan	ɪnbranːjan
briggan	brɪŋɡan
brikan	brɪkan
gabrikan	ɡaβrɪkan
ufbrikan	uɸbrɪkan
brinnan	brɪnːan
ufbrinnan	uɸbrɪnːan
brinno	brɪnːo
broþar	broθar
broþrahans	broθrahans
broþrulubo	broθruluβo
brūkjan	brukjan
usbruknan	usbruknan
brūks	bruks
brunjo	brunjo
brunna	brunːa
brusts	brusts
brūþfaþs	bruθɸaθs
brūþs	bruθs
bugjan	buɣjan
frabugjan	ɸraβuɣjan
usbugjan	usbuɣjan
andbundnan	andbundnan
bwssaun	bwsːɔn
gadaban	ɡaðaβan
daddjan	dadːjan
dags	daɣs
daigs	dɛɣs
Daikapaulis	dɛkapɔlɪs
daila	dɛla
dailjan	dɛljan
afdailjan	aɸdɛljan
disdailjan	dɪsdɛljan
fradailjan	ɸraðɛljan
gadailjan	ɡaðɛljan
dails	dɛls
daimonareis	dɛmonaris
dals	dals
dalaþ	dalaθ
dalaþa	dalaθa
dalaþro	dalaθro
Dalmatia	dalmatɪa
Damaskon	damaskon
faurdammjan	ɸɔrdamːjan
daubei	dɔβi
daubiþa	dɔβɪθa
gadaubjan	ɡaðɔβjan
afdaubnan	aɸdɔβnan
usdaudjan	usdɔðjan
daufs	dɔɸs
dauhtar	dɔhtar
dauhts	dɔhts
afdauiþs	aɸdɔɪθs
dauns	dɔns
daupeins	dɔpins
daupjan	dɔpjan
ufdaupjan	uɸdɔpjan
daupjands	dɔpjands
daur	dɔr
daurawarda	dɔrawarda
daurawardo	dɔrawardo
daurawards	dɔrawards
Dauriþaius	dɔrɪθɛus
daurons	dɔrons
gadaursan	ɡaðɔrsan
dauþeins	dɔθins
dauþjan	dɔθjan
afdauþjan	aɸdɔθjan
gadauþjan	ɡaðɔθjan
gadauþnan	ɡaðɔθnan
miþgadauþnan	mɪθɡaðɔθnan
dauþs	dɔθs
dauþubleis	dɔθuβlis
dauþus	dɔθus
Daweid	dawið
Demas	demas
diabula	dɪaβula
diabaulus	dɪaβɔlus
diabulus	dɪaβulus
diakaunus	dɪakɔnus
Didimus	dɪðɪmus
digan	dɪɣan
gadigan	ɡaðɪɣan
digrei	dɪɣri
distaheins	dɪstahins
diswiss	dɪswɪsː
diupei	dɪupi
diupiþa	dɪupɪθa
gadiupjan	ɡaðɪupjan
diups	dɪups
dius	dɪus
diwan	dɪwan
afdobnan	aɸdoβnan
afdojan	aɸdojan
domjan	domjan
afdomjan	aɸdomjan
bidomjan	bɪðomjan
gadomjan	ɡaðomjan
doms	doms
gadraban	ɡaðraβan
dragan	draɣan
gadragan	ɡaðraɣan
dragk	draŋk
dragkjan	draŋkjan
gadragkjan	ɡaðraŋkjan
draibjan	drɛβjan
drakma	drakma
drauhsnos	drɔhsnos
drauhtinassus	drɔhtɪnasːus
drauhtinon	drɔhtɪnon
drauhtiwitoþ	drɔhtɪwɪtoθ
afdrausjan	aɸdrɔsjan
gadrausjan	ɡaðrɔsjan
drausnos	drɔsnos
dreiban	driβan
usdreiban	usdriβan
drigkan	drɪŋkan
anadrigkan	anaðrɪŋkan
gadrigkan	ɡaðrɪŋkan
driugan	drɪuɣan
driusan	drɪusan
atdriusan	atdrɪusan
disdriusan	dɪsdrɪusan
gadriusan	ɡaðrɪusan
usdriusan	usdrɪusan
driuso	drɪuso
drobjan	droβjan
drobna	droβna
drobnan	droβnan
gadrobnan	ɡaðroβnan
indrobnan	ɪndroβnan
drugkanei	druŋkani
drunjus	drunjus
drus	drus
du	du
dugan	duɣan
duƕe	duʍe
dulgahaitja	dulɡahɛtja
dulgis	dulɡɪs
dulþjan	dulθjan
dulþs	dulθs
afdumbnan	aɸdumbnan
dumbs	dumbs
duþe	duθe
dwalawaurdei	dwalawɔrdi
dwaliþa	dwalɪθa
dwalmon	dwalmon
dwals	dwals
Eeiram	eiram
ei	i
Eiaireiko	iɛriko
Eikaunion	ikɔnɪon
eisarn	isarn̥
eisarnabandi	isarnaβandɪ
eisarneins	isarnins
eiþan	iθan
eiþau	iθɔ
Esaïas	esɛ̈as
Esaw	esaw
fadar	ɸaðar
Faddasur	ɸadːasur
fadrein	ɸaðrin
fadreins	ɸaðrins
faginon	ɸaɣɪnon
miþfaginon	mɪθɸaɣɪnon
fagrs	ɸaɣr̥s
fāhan	ɸahan
gafahan	ɡaɸahan
faheþs	ɸaheθs
fullafahjan	ɸulːaɸahjan
gafahrjan	ɡaɸahrjan
faian	ɸɛan
bifaihon	bɪɸɛhon
gafaihon	ɡaɸɛhon
faihu	ɸɛhu
faihufrikei	ɸɛhuɸrɪki
faihufriks	ɸɛhuɸrɪks
faihugairnei	ɸɛhuɣɛrni
faihugairns	ɸɛhuɣɛrn̥s
faihugawaurki	ɸɛhuɣawɔrkɪ
faihugeiro	ɸɛhuɣiro
faihuskula	ɸɛhuskula
faihuþraihna	ɸɛhuθrɛhna
fairguni	ɸɛrɡunɪ
waifairƕjan	wɛɸɛrʍjan
fairƕus	ɸɛrʍus
fairina	ɸɛrɪna
fairinon	ɸɛrɪnon
fairneis	ɸɛrnis
fairniþa	ɸɛrnɪθa
fairns	ɸɛrn̥s
fairra	ɸɛrːa
fairraþro	ɸɛrːaθro
fairweitl	ɸɛrwitl̥
fairzna	ɸɛrzna
Falaig	ɸalɛɣ
Fallasur	ɸalːasur
falþan	ɸalθan
fana	ɸana
fani	ɸanɪ
Fanuel	ɸanuel
Farais	ɸarɛs
faran	ɸaran
Farao	ɸarao
Fareisaius	ɸarisɛus
farjan	ɸarjan
atfarjan	atɸarjan
fāskja	ɸaskja
fastan	ɸastan
gafastan	ɡaɸastan
fastubni	ɸastuβnɪ
