ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
377	1217	FATHER	abba	Vater	Vater	Vater-1
378	1217	FATHER	atta	Vater	Vater	Vater-2
379	1217	FATHER	fadar	Vater	Vater	Vater-3
380	134	FAULT	dulgis	Schuld	Schuld	Schuld-1
381	134	FAULT	fairina	Schuld;  Grund;  Vorwurf	Schuld	Schuld-2
382	1419	FEAR (BE AFRAID)	faurhtjan	sich fürchten	sich fürchten	sichfurchten-1
383	1201	FEATHER				
384	2037	FEBRUARY				
385	739	FEED				
386	2559	FEEL (TACTUALLY)				
387	1690	FENCE	faþa	Zaun	Zaun	Zaun-1
388	1534	FEVER	brinno	Fieber	Fieber	Fieber-1
389	1534	FEVER	heito	Fieber	Fieber	Fieber-2
390	1717	FIFTY				
391	2006	FILL	fula	Füllen	Füllen	Fullen-1
392	2006	FILL	fulljan	füllen	füllen	fullen-1
393	719	FIND	bi-gitan	finden	finden	finden-1
394	2157	FINE OR THIN				
395	1303	FINGER	figgrs	Finger	Finger	Finger-1
396	1258	FINGERNAIL				
397	1896	FINGERNAIL OR TOENAIL				
398	1766	FINISH				
399	1915	FIR				
400	221	FIRE	fon	Feuer	Feuer	Feuer-1
401	221	FIRE	funins, funin	Feuer	Feuer	Feuer-2
402	728	FIRST				
403	227	FISH	fisks	Fisch	Fisch	Fisch-1
404	2638	FISHING	fiskon	fischen	fischen	fischen-1
405	493	FIVE	fimf	fünf	fünf	funf-1
406	1633	FLAT	ibns	eben;  flach	 flach	flach-1
407	956	FLEE				
408	2939	FLOCK (OF ANIMALS)	hairda	Herde	Herde	Herde-1
409	2939	FLOCK (OF ANIMALS)	[wreþus]	Herde	Herde	Herde-2
410	2939	FLOCK (OF ANIMALS)	wriþus	Herde	Herde	Herde-3
411	1632	FLOOR				
412	2003	FLOW				
413	239	FLOWER	bloma*	Blume	Blume	Blume-1
414	1504	FLY (INSECT)				
415	1441	FLY (MOVE THROUGH AIR)				
416	1768	FOAM	ƕaþo	Schaum	Schaum	Schaum-1
417	249	FOG				
418	256	FOOD	fodeins	Nahrung	Nahrung	Nahrung-1
419	256	FOOD	usfodeins	Nahrung	Nahrung	Nahrung-2
420	1301	FOOT	fotus	Fuß	Fuß	Fu-1
421	318	FOOTPRINT	laists	Spur	Spur	Spur-1
422	418	FOR A LONG TIME				
423	123	FOREHEAD				
424	109	FOREIGN	framaþeis*	fremd;  einer Sache	fremd	fremd-1
425	420	FOREST				
426	1523	FORGET	ufar-miton	vergessen	vergessen	vergessen-1
